ID;text
30;"
1. Daggryet lister sig frem over himlenspejles i tusind refl ekser på vandløft es af bølger og natsalte tårerbrister til lys mod den østvendte strandlægger den kommende dag i min favnat leve og bruge i Jesu navn
2. han som var med der hvor mørket er dybestkroge hvor stjerneskær aldrig når indstår ved min side endnu før jeg vågnerhvisker sit ord i mit tusmørkesindblidt som i regnen den syngende rønbereder han sindet til tak og bøn
3. skænker lidt stilhed før dagen begyndersmå katastrofer på morgenbordsplanplaner der væltes og stemmer der kaldertid blir til deadline og blæst til orkanintet så småt at han ikke er medog intet for tungt til hans kærlighed.
4. Giv mig at modtage hverdagens nådeleve frimodigt i kald og i standkende mit mørke og færdes i lysetsprede lidt glæde så godt jeg nu kangenfi nde verden så skøn som den ervelsignet beåndet hvor han er nær.
"
31;"
1. Lyset vælder ind i verden,jager nattens mørke bort,kalder frem de varme farver,hvor der før var gråt og sort,vækker blomsten, vugger bladet.||: Gud gør jorden ny igen. :||
2. Lyset vælder ind i byen,spejler sig i vinduesglas,leger skyggespil på gaden,kaster glød på torv og plads,får os til at se hinanden.||: Gud gør jorden ny igen. :||
3. Lyset vælder ind i stuen,luner os, når vi er grå,lokker os derud i solen,ud, hvor der er godt at gå,så det letter, det, der trykker.||: Gud gør jorden ny igen. :||
4. Lyset trænger ind i sindet,løsner smertens stramme bånd,får os til at glemme sorgen,gribe vennens varme hånd,læger såret, lindrer savnet.||: Gud gør jorden ny igen. :||
5. Du er lyset, du, der kommertil os, når vi kun ser nat,så vi overrumplet fatter,at vi aldrig er forladt.Lad os lyse, som du lyser!||: Gud, gør jorden ny igen. :||
"
32;"
1. Aleneste Gud i Himmerig
ske lov og pris for sin nåde,
som han har os skænket faderlig
at fri os af syndens våde!
På jorden er kommen stor fryd og fred,
vi mennesker må vel glædes ved
Guds yndest og gode vilje.
2. Vi love, vi prise og takke dig,al æren skal dig tilhøre,o Herre, Gud Fader i Himmerig,for kærlighed, du os mon gøre!Du alle ting har i vold og magt,det alt må frem, som er din agt,thi frygte vi ingen fare.

3. O Jesus Krist, Guds Søn, Guds Lam,som vil os Himmerig give,du tog vor skyld og bar vor skam,vor sjæl at holde i live;for os du døde og opstod,du købte os med dit dyre blod,vor salighed est du alene.

4. O Helligånd, vor trøstermand,som os vil sandheden lære,hjælp os at blive i nådens standog leve vor Fader til ære!Beskærm os fra Djævelens falske list,og hjælp os at tro på Jesus Kristog blive salige, amen!
"
33;"
1. Nu fryde sig hver kristen mandog springe højt af glæde!Ja, lad os alle trindt om landmed liv og lyst nu kvæde!For Gud, så god som han er stærk,har gjort et herligt underværk,betalt i dyre domme.
2. I Djævlens fængsel var jeg sat,jeg var fordømt til døde,min synd mig knuged dag og natmed megen angst og møde;jeg altid dybere sank ned,der var ej vej til salighed,i synden var jeg fangen.
3. Min dyd og gerning hjalp mig ejden død at overvinde;den stærke Djævel sagde nej,han lod sig ikke binde;jeg givet var i Fjendens vold,han trued mig med syndens soldog dom til evig pine.
4. Da ynked Gud i evighedmin jammer og elende,han tænkte på barmhjertighedog ville hjælp mig sende;sit hjerte vendte han til migog kosted derpå faderligdet kæreste, han havde.
5. Han talte til sin kære Søn:Nu vil jeg mig forbarme;drag ud, mit hjertes krone skøn,vær frelser for den arme;gå, hjælp ham ud af syndens nød,og dræb for ham den bitre død,og lad med dig ham leve!
6. Guds Søn sin Fader lydig var,han kom til os på jorden,født af en jomfru ren og klar,han er min broder vorden;så lønlig førte han sin magt,bar alskens nød og liden pragtfor Djævelen at fange.
7. Nu siger han: Kom hid til mig,tag evigt liv til gave!Jeg led den bitre død for dig,at du den arv skal have;nu er jeg din, og du er min,min bolig skal og være din,os skal ej Fjenden skille.
"
34;"
1. Vor Gud han er så fast en borg,han kan os vel bevare,han var vor hjælp i al vor sorg,vort værn i al vor fare;den gamle fjende leder nu for alvor vred,stor magt og argelisthan samler mod os vist,ej jorden har hans lige.
2. Vor egen magt ej hjælpe kan,let kan os fjenden fælde;men med os står den rette mand,omgjordet med Guds vælde.Det er den Herre Krist,og sejer får han vist,hærskarers Herre prud,der er ej anden Gud,han marken skal beholde.
3. Og myldred djævle frem på jordog os opsluge ville,vi frygter dog ej fare stor,de deres trusler spilde;lad rase mørkets drotmed løgn og mord og spot,han har dog få't sin dom,da Krist til jorden kom,et ord ham nu kan fælde.
4. Guds Ord de nok skal lade ståog dertil utak have,thi Herren selv vil med os gåalt med sin Ånd og gave;og tage de vort liv,gods, ære, barn og viv,lad fare i Guds navn!Dem bringer det ej gavn,Guds rige vi beholder.
"
35;"
1. Nu takker alle Gudmed hjerte, mund og hænder,som overflødigt godtos uforskyldt tilsender,som os fra moders livog første barndomsstundi alt vort levneds tidvelsigned mangelund!
2. Den evig rige Gud,han os fremdeles givefred og frimodighed,mens vi er her i live,så vi i nåde ståhos ham og på vor bønfå hjælp i nød og død,til sidst hans nådeløn!
3. Gud Fader med Guds Sønog Helligånd tilligeske tak og lov og prisi høje Himmerige!Treenig Gud, som varog er og bliver, digvort takke-offer fremvi bær' ydmygelig.
"
36;"
1. Befal du dine vejeog al din hjertesorgtil hans trofaste pleje,som bor i Himlens borg!Han, som kan stormen binde,hvem bølgen lyde må,han kan og vejen finde,hvorpå din fod kan gå.
2. På Herren må du agte,hvis det dig vel skal gå;hans gerning du betragte,hvis din skal vel bestå!Ved sorg og selvskabt plagedu intet retter ud,thi intet kan du tage,alt kan du få af Gud.
3. Din trofasthed og nåde,o Fader, bedst forstår,hvad skade kan og bådede dødeliges kår,og hvad du har for øje,det sker, o stærke Gud,og alting sig må føjedit råd at føre ud.
4. Vej har du alle steder,dig midler fattes ej;kun nåde du udspreder,kun lys er al din vej;din gerning kan ej hvile,ej standses kan dit fjed,når du til os vil ilemed hjælp og bistand ned.
5. Om alle Helved-magterend trodse og modstå,det du for intet agter,vil ej tilbage gå.Hvem kan mod dig vel stande,som slynger lynets pil?Hvem vover at forbande,når du velsigne vil?
6. Så kast da al din smertepå Herrens stærke magt,og håb, o, håb, mit hjerte,vær trøstig, uforsagt!Du er dog ej den herre,som alting råde bør;Gud monne sceptret bære,og alting vel han gør.
"
37;"
1. Herre Gud! Dit dyre navn og æreover verden højt i agt skal være,og alle sjæle, de trætte trælle,alt, som har mæle, de skal fortælledin ære.
2. Gud er Gud, om alle land lå øde,Gud er Gud, om alle mand var døde.Om slægter svimle, blandt stjernestimleutallig vrimle i høje himleGuds grøde.
3. Høje hald og dybe dal skal vige,jord og himmel falde skal tillige,hvert fjeld, hver tinde skal brat forsvinde,men op skal rinde, som solen skinne,Guds rige.
"
38;"
1. Om alle mine lemmervar fuld af idel sang,om de så højt istemmer,at det i skyen klang,og sang jeg dag og nat,jeg kunne ej gengældemed tak Guds rige skat.
2. Se, skal jeg alt fortællefra mine ungdomsår,hvad skæbne og tilfældemig da for hånden var,jeg kan dog andet ejend i forundring faldeved Guds husholdnings vej.
3. Jeg ved vel, at den sommerej vare kan altid,en vinter efter kommer,som mig vil farve hvid,jeg ser, mit mandeltræalt tager til at knoppes,min styrke går i knæ.
4. Herfra med mine fædreengang jeg vandre bør,det kald er mig langt bedreend det, jeg havde før.Er end jeg fro som gæst,er ude længe fristet,dog bliver hjemmet bedst.
5. O Gud, som har din kirkegrundfæst på dette sted,du selv alt godt udvirkeher i din menighed!Lad her os i dit husi troskab mod dig vandreog følge ordets lys!
6. Lad livets kilde flyde,at ingen stopper den!Lad folkene sig fryde,mens tider farer hen!Lad lykkes Jesu navn,at Sulamit må tagesin Salomon i favn!
"
39;"
1. Op, al den ting, som Gud har gjort,hans herlighed at prise!Det mindste, han har skabt, er stortog kan hans magt bevise.
2. Gik alle konger frem på radi deres magt og vælde,de mægted ej det mindste bladat sætte på en nælde.
3. Det mindste græs jeg undrer påi skove og i dale,hvor skulle jeg den visdom fåom det kun ret at tale?
4. Hvad skal jeg sige, når jeg ser,at alle skove vrimle,de mange fuglesving, der skerop under Herrens himle?
5. Hvad skal jeg sige, når jeg gårblandt blomsterne i enge,når fuglesangen sammenslårsom tusind harpestrenge?
6. Hvad skal jeg sige, når mit sindi havets dybe grundekun dog så lidt kan kige indog ser så mange munde?
7. Hvad skal jeg sige, når jeg ser,hvor stjerneflokken blinker,hvor mildt enhver imod mig lerog op til himlen vinker?
8. Hvad skal jeg sige, når jeg optil Gud i ånden farerog ser den store kæmpetropaf blide engleskarer?
9. Hvad skal jeg sige? mine ordvil ikke meget sige:o Gud! hvor er din visdom stor,din godhed, kraft og rige!
10. Op, stemmer alle folk på jordmed frydetone sammen:Halleluja, vor Gud er stor!Og Himlen svare: Amen!
"
40;"
1. Her vil ties, her vil bies,her vil bies, o svage sind!Vist skal du hente, kun ved at vente,kun ved at vente, vor sommer ind.Her vil ties, her vil bies,her vil bies, o svage sind!
2. Trange tider langsomt skrider,langsomt skrider. Det har den art.Dagene længes, vinteren strenges,vinteren strenges. Og det er svart.Trange tider langsomt skrider,langsomt skrider. Det har den art.
3. Turteldue, kom at skue,kom at skue! Bag gærdet histdér skal du finde forsommers minde,forsommers minde, alt grøn på kvist.Turteldue, kom at skue,kom at skue bag gærdet hist!
4. Eja, søde førstegrøde,førstegrøde af bliden vår!Lad det nu fryse, lad mig nu gyse,lad mig nu gyse. Det snart forgår.Eja, søde førstegrøde,førstegrøde af bliden vår!
5. Due, kunne du udgrunde,du udgrunde, hvad der nu sker!Kulden den svækkes, blomsterne dækkes,blomsterne dækkes, jo mer det sner.Due, kunne du begrunde,du begrunde, hvad der nu sker!
6. Kom, min due, lad dig skue,lad dig skue med olieblad!Se! nu er stunden næsten oprunden,næsten oprunden, som gør dig glad.Kom, min due, lad dig skue,lad dig skue med olieblad!
"
41;"
1. Hvad vindes på verdens vidtløftige hav?O, tusinde farer i skummende trav!Man véd kun to havne,bekendte af navne,den ene vor vugge, den anden vor grav.
2. Fra vuggen til graven må krydses omkringblandt håbets og frygtens de stridige ting:snart vippes vi oppepå bølgernes toppe,snart nærmes vi grunden i flyvende spring.
3. Her fristes ustadigheds ebbe og flod,en vagt er så ond, som en anden er god;hver time i glasset,hver streg på kompassetforandrer, forhøjer, fornedrer vort mod.
4. Så hidser en medbør det nedrige sind,ja, puster i hjertet dumdristighed ind;vil farten kun føjevor attrå og øje,straks blæses vi op af en ønskelig vind.
5. Så slipper klejnmodighed roret i hast,når forstavnen dukker for bølgernes kast;når vindene suse,og vandene bruse,så skrækkes vi straks for en knagende mast.
6. Dit forsyn, o Fader, det fører os hjem,det styrer så sikkert, hvor søen er slem;vor gisning kan fejle,hvor vi end vil sejle,selv stævner vi mere tilbage end frem.
"
42;"
1. Jeg kender et land,hvor håret ej gråner, og tid har ej tand,hvor solen ej brænder, og bølgen ej slår,hvor høsten omfavner den blomstrende vår,hvor aften og morgen går altid i dansmed middagens glans.
2. O dejlige land,hvor glasset ej rinder med tårer som sand,hvor intet man savner, som ønske er værd,hvor det ikkun fattes, som smertede her!Hvert menneske søger med længsel i brystdin smilende kyst.
3. Forjættede land!Du hilses i morgenens spejlklare strand,når barnet mon skue din skygge fuldskønog drømmer, du findes, hvor skoven er grøn,hvor barnet kan dele med blomster og sivsit smil og sit liv.
4. O flygtige drømom evigheds-øen i tidernes strøm,om templet for glæden i tårernes dal,om halvgudelivet i dødningesal!Med dig fra de fleste henfarer på standde levendes land.
5. O skuffende drøm!Du skinnende boble på tidernes strøm!Forgæves dig skjalden med mund og med penaf glimrende skygger vil skabe igen.når skyggen er ligest, da hulker de små,som stirrer derpå.
6. Fortryllende drømom evigheds-perlen i tidernes strøm!Du gækker de arme, der søger omsonst,hvad hjertet begærer, i billed og kunst,så varigst de kalder, hvad sikkert forgårsom timer og år.
7. O kærligheds Ånd!lad barnlig mig kysse din strålende hånd,som rækker fra Himlen til jorderigs muldog rører vort øje med fingre som guld,så blålig sig hæver bag buldrende stranddet dejlige land!
8. O himmelske navn,som åbner for vores din hellige favn,så Ånden, usmittet, kan røre ved støvog levendegøre det visnede løv!O, lad mig nedknæle så dybt i mit ler,at Gud mig kun ser!
9. O vidunder-tro,som slår over dybet den hvælvede bro,der isgangen trodser i buldrende strandfra dødningehjem til de levendes land!Sid lavere hos mig, du højbårne gæst,det huer dig bedst!
10. Letvingede håb!Gudbroder, genfødt i den hellige dåb!For rejserne mange til landet bag hav,for tidender gode, for trøsten, du gav,lad så mig dig takke, at glæde jeg ser,når håb er ej mer!
11. O kærlighed selv,du rolige kilde for kræfternes elv!Han kalder dig Fader, som løser vort bånd,al livskraft i sjælen er gnist af din Ånd,dit rige er der, hvor man død byder trods,det komme til os!
12. Vor Fader så huld!Du gerne vil trone i templet af muld,som Ånden opbygger i Midlerens navn,med rygende alter i menneskefavn,med himmellys-bolig af gnisten i løntil dig og din Søn.
13. O kristelighed!Du skænker vort hjerte, hvad verden ej ved,hvad svagt vi kun skimter, mens øjet er blåt,det lever dog i os, det føler vi godt:Mit land, siger Livet, er Himmel og jord,hvor kærlighed bor.
"
43;"
1. Himlene, Herre, fortælle din ære,Mesteren prises af hvælvingen blå,solen og månen og stjernernes hærevise os, hvad dine hænder formå.
2. Men i dit hus, i din kirke på jorden,der tale dage med dage om dig,der sig forklarer din sol og din torden,der på oplysning selv natten er rig.
3. Ej er i sandhed der ord eller tanke,som i dit hus jo fik mæle og røst,og alt så vide, som stjernerne vanke,bringe på jord de oplysning og trøst.
4. Ordet med solen i skiftende tiderudgår som brudgom i morgenrød glans,strålende frem ad sin bane det skrider,krones som helten med aftenrød krans.
5. Så på sin bane din sol i det høje,lyset i sandhed, omrejser vor jord,intet i verden er skjult for dens øje,aldrig udslettes dens strålende spor.
6. Ren som et guld er den lov, du har givet,omvender sjæle, som agter derpå,trofast dit vidnesbyrd fører til livet,vismænd det gør af vankundige små.
"
44;"
1. Giv mig, Gud, en salmetunge,så for dig jeg ret kan sjungehøjt og lydelig,så jeg føle kan med glæde:sødt det er om dig at kvædeuden skrømt og svig!
2. Himlene din glans forkynde,lad hver morgen mig begyndedagen med din pris!Og når aftenklokken ringer,lad min sang på lærkevingerstige ligervis!
3. Aldrig noksom dig kan lovemand på mark og fugl i skovefor din miskundhed;lige god i ny og nædegør du, os til gavn og glæde,mer end engle ved.
4. Hvert dit værk er stort vidunder,i din visdom ingen bunder,som af den har øst.Kun en dåre tør det nægte,at hos dig er alting ægte,alting mageløst.
5. Græsset lig er hver en synder,ender, før han ret begynder,visner i sin vår;himle selv forgå af ælde,men i grundfast guddomsvældeevig du består.
6. Dine fjender gå til grunde,ja, som avner skal de ondehvirvles, vejres hen,mens i alderdommens dageherlig kræfterne tiltagehos din gode ven.
7. Se! fra dine drivehusei det fri, hvor storme suse,poder plantes ud!Og når de som sne er hvide,finest frugt om vintertidebære de for Gud.
8. Om end gennem dage hårde,blomstre skal i dine gårdehvert et hjerteskud,bære frugt på gamle dage,medens bjerg og skov gentage:Ejegod er Gud!
"
45;"
1. Kirken den er et gammelt hus,står, om end tårnene falde;tårne fuldmange sank i grus,klokker end kime og kalde,kalde på gammel og på ung,mest dog på sjælen træt og tung,syg for den evige hvile.
2. Himlenes Gud vist ej beborhuse, som hænder mon bygge,arke-paulunet var på jordkun af hans tempel en skygge;dog sig en bolig underfuldbygged han selv af støv og muld,rejste af gruset i nåde.
3. Vi er Guds hus og kirke nu,bygget af levende stene,som under kors med ærlig hutroen og dåben forene;var vi på jord ej mer end to,bygge dog ville han og bohos os i hele sin vælde.
4. Samles vi kan da med vor drotselv i den laveste hytte,finde med Peder: her er godt!tog ej al verden i bytte;nær som sit ord i allen stunder han vort hjerte og vor mund,drot over tiden og rummet.
5. Husene dog med kirkenavn,bygget til Frelserens ære,hvor han de små tog tit i favn,er os som hjemmet så kære;dejlige ting i dem er sagt,sluttet har der med os sin pagthan, som os Himmerig skænker.
6. Fonten os minder om vor dåb,altret om nadverens nåde,alt med Guds ord om tro og håbog om Guds kærligheds gåde,huset om ham, hvis ord består,Kristus, i dag alt som i går,evig Guds Søn, vor genløser.
7. Give da Gud, at hvor vi bo,altid, når klokkerne ringe,folket forsamles i Jesu troder, hvor det plejed at klinge:Verden vel ej, men I mig ser,alt, hvad jeg siger, se, det sker;fred være med eder alle!
"
46;"
1. At sige verden ret farveli livets gry og livets kvælder lige tungt at nemme;det lærtes aldrig her på jord,var, Jesus, ej du i dit ordhos os, som du er hjemme.
2. Hvor tit hos dig end trøst jeg fandt,når hjertet skjalv, og gråden randt,og verdens bølger bruste,ved støvet hænger dog min sjæl,og slangen bider i min hæl,skønt du dens hoved knuste.
3. O Jesus, Herre, broder sød!Du kender bedst den bitre død,du har den overvundet;vor skabning grant og kender du,ved godt, vi alle ser med gruvort timeglas udrundet.
4. O, kom du, som engang, jeg ved,du i din Faders herlighedskal klart dig åbenbare,var det i gry, var det i kvæld,jeg skyndte mig med kort farveli sky til dig at fare.
5. Men kommer døden førend du,kom da i løn' og kom i hu,hvor mørkt der er i graven!Omstrål mig, så jeg glemmer den,salv øjet på din syge ven,så jeg kan se Guds-haven!
6. Kom i den sidste nattevagti en af mine kæres dragt,og sæt dig ved min side,og tal med mig, som ven med ven,om, hvor vi snart skal ses igenog glemme al vor kvide!
7. Kom, som du vil! jeg ved det vist,du selv har sagt, at her og histdu kendes vil på røsten,den røst, hvorved trods verdens larmos hjertet brænde kan i barmog smelte hen i trøsten.
8. O, lad mig i min sidste stunddet høre af din egen mund,som Ånd og liv kan tale,hvor godt der er i Himmerig,og at du stol har sat til migi dine lyse sale!
9. Før døden med sin istap-håndgør skel imellem støv og ånd,bortvifter hjertets varme,indslumre skal jeg da med lyst,som barnet ved sin moders bryst,i dine frelserarme.
"
47;"
1. Kirkeklokke! mellem ædle malmemageløs er for mit hjerte du,vågnet er ved dig en højtidssalme,som genlyder daglig i min barm.
2. Kirkeklokke! ej til hovedstæderstøbtes du, men til den lille by,hvor det høres trindt, når barnet græderog inddysses blidt ved vuggesang.
3. Kirkeklokke! moderskød for klangen,som er mig langt mer end strengeleg,toner dine kappedes om rangenfor mit øre tit og i min barm.
4. Mens som barn på landet jeg var hjemme,julemorgen var mit Himmerig,den du meldte mig med englestemme,kimed klart den store glæde ind.
5. Højere dog stemte dine toner,når de med ""den gyldne sol frembrød""kimed: Støv! oprejst er din forsoner,stat nu op i påskemorgengry!
6. Lavere de spreder deres vinger,sænker sig med solen dybt i hav,når for mig nu aftenklokken ringer,og jeg tæller dine bedeslag.
7. Lifligt dog det klinger helst om høsten,i den stille, svale aftenstund;gennem jorderig går Himmel-røsten,kalder sjælen til sin hvile ind.
8. Landet nu gråhærdet kun jeg gæsterog har hjemme, selv jeg ved ej hvor;dog på lysets hjem min hu sig fæster,evig godt, jeg ved, er ene der.
9. Derfor nu, når aftenklokken melder:Solen sank, og fuglen slumred ind,da mit hoved jeg med blomsten hælder,nynner sagte mellem bedeslag:
10. Kirkeklokke! når til sidst du lyderfor mit støv, skønt det dig hører ej,meld da mine kære, så det fryder:Han sov hen, som sol i høst går ned.
"
48;"
1. Min Jesus, lad mit hjerte fåen sådan smag på dig,at nat og dag du være måmin sjæl umistelig!2. Da bliver nådens tid og stundmig sød og lystelig,til du mig kysser med din mundog tager hjem til dig.3. Mit hjerte i den grav, du låtil påskemorgen rød,lad, når det aft ner, hvile fåog smile ad sin død!4. Før så mig arme synder hjemmed din retfærdighedtil dit det ny Jerusalem,til al din herlighed!
"
